Untitled report
1 December 2025 - 1 March 2026
Campaign,Day,Currency code,Cost,Clicks,Impr.,Conversions,Conv. value,Cost / conv.
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-01,GBP,2402.43,"1,784","105,959",212.62,"56,099.56",11.30
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-01,GBP,373.08,581,"2,366",34.95,"7,726.89",10.67
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-01,GBP,1646.77,"2,329","151,343",187.14,"28,789.85",8.80
JP_JA_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-01,GBP,782.23,"1,752","90,079",76.47,"14,349.22",10.23
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-01,GBP,1200.07,"1,341","2,296",164.37,"42,241.70",7.30
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-01,GBP,96.18,116,651,6.71,"2,091.70",14.34
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-01,GBP,881.93,960,"105,564",47.77,"8,908.79",18.46
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-01,GBP,1410.49,"1,536","129,256",52.58,"11,322.19",26.82
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-01,GBP,1618.65,"1,516","3,232",152.78,"24,460.88",10.59
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-01,GBP,297.96,376,"1,542",32.75,"5,976.82",9.10
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-01,GBP,1234.01,631,"7,889",39.60,"11,288.92",31.16
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-01,GBP,655.71,706,"9,641",29.03,"3,632.57",22.59
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-01,GBP,593.27,554,"9,474",8.00,"1,720.74",74.16
UK_EN_PaidSearch_Google_DEMGEN_AlwaysOn_Conv,2025-12-01,GBP,108.00,61,"5,482",3.73,996.84,28.95
US_EN_PaidSearch_Google_COMP_AlwaysOn_Conv,2025-12-01,GBP,335.56,155,"3,290",5.49,"1,553.74",61.13
US_EN_PaidSearch_Google_DEMGEN_AlwaysOn_Conv,2025-12-01,GBP,205.29,88,"6,428",5.55,"1,703.03",37.01
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-01,GBP,1144.70,621,"8,545",16.31,"3,511.60",70.19
DE_DE_PaidSearch_Google_DEMGEN_AlwaysOn_Conv,2025-12-01,GBP,206.37,451,"29,707",7.36,"1,805.43",28.05
AU_EN_PaidSearch_Google_DEMGEN_AlwaysOn_Conv,2025-12-01,GBP,101.79,60,"7,883",3.80,364.66,26.76
AU_EN_PaidSearch_Google_COMP_AlwaysOn_Conv,2025-12-01,GBP,259.50,151,"1,839",3.06,488.30,84.68
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-02,GBP,1921.94,"1,790","113,079",196.20,"52,324.21",9.80
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-02,GBP,307.15,428,"1,941",28.41,"5,588.90",10.81
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-02,GBP,1140.13,"1,812","144,834",125.42,"19,999.52",9.09
JP_JA_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-02,GBP,623.81,"1,400","95,206",32.52,"5,830.17",19.18
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-02,GBP,993.62,"1,113","3,182",124.28,"31,252.73",7.99
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-02,GBP,72.67,74,471,2.14,391.38,33.95
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-02,GBP,639.33,802,"89,316",40.27,"7,270.28",15.87
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-02,GBP,1418.03,"1,549","131,696",50.04,"10,063.06",28.34
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-02,GBP,1155.04,"1,171","4,866",137.96,"22,634.19",8.37
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-02,GBP,108.64,229,955,9.39,"1,332.33",11.57
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-02,GBP,855.95,500,"6,664",30.40,"7,059.99",28.16
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-02,GBP,487.95,545,"8,145",21.21,"2,538.05",23.00
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-02,GBP,513.18,469,"6,647",15.41,"3,069.27",33.30
UK_EN_PaidSearch_Google_DEMGEN_AlwaysOn_Conv,2025-12-02,GBP,45.35,11,"2,033",1.30,253.49,34.97
US_EN_PaidSearch_Google_COMP_AlwaysOn_Conv,2025-12-02,GBP,235.99,97,"2,247",11.84,"2,994.90",19.93
US_EN_PaidSearch_Google_DEMGEN_AlwaysOn_Conv,2025-12-02,GBP,130.45,51,"4,299",0.44,31.87,295.84
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-02,GBP,771.17,442,"6,505",3.74,918.16,206.25
DE_DE_PaidSearch_Google_DEMGEN_AlwaysOn_Conv,2025-12-02,GBP,96.26,185,"13,942",2.23,506.64,43.14
AU_EN_PaidSearch_Google_DEMGEN_AlwaysOn_Conv,2025-12-02,GBP,79.21,65,"7,959",0.00,0.00,0
AU_EN_PaidSearch_Google_COMP_AlwaysOn_Conv,2025-12-02,GBP,176.74,104,"1,251",3.35,755.95,52.73
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-03,GBP,1534.28,"1,128","97,310",101.89,"26,604.99",15.06
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-03,GBP,302.67,483,"2,059",28.45,"6,340.98",10.64
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-03,GBP,943.41,"1,218","129,519",94.50,"14,481.80",9.98
JP_JA_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-03,GBP,615.28,"1,389","98,550",51.91,"9,896.77",11.85
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-03,GBP,548.09,737,"3,464",75.18,"16,992.16",7.29
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-03,GBP,91.01,83,450,3.83,"1,061.48",23.74
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-03,GBP,424.87,515,"69,683",19.84,"3,361.02",21.42
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-03,GBP,1124.82,"1,239","120,093",49.21,"9,606.63",22.86
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-03,GBP,1445.12,"1,324","5,466",116.82,"17,229.04",12.37
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-03,GBP,231.47,217,962,17.61,"3,113.05",13.15
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-03,GBP,696.01,435,"5,489",19.65,"4,988.98",35.43
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-03,GBP,425.28,517,"6,909",18.18,"3,312.43",23.39
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-03,GBP,458.37,468,"6,029",7.11,"1,546.77",64.46
US_EN_PaidSearch_Google_COMP_AlwaysOn_Conv,2025-12-03,GBP,218.63,105,"1,934",3.00,587.26,72.88
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-03,GBP,624.50,362,"4,700",7.42,"1,070.87",84.15
AU_EN_PaidSearch_Google_COMP_AlwaysOn_Conv,2025-12-03,GBP,131.25,69,885,0.54,144.66,241.47
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-04,GBP,1490.69,"1,040","94,832",62.12,"15,088.66",24.00
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-04,GBP,226.90,360,"1,521",11.50,"2,771.94",19.73
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-04,GBP,1075.35,"1,487","115,985",76.66,"12,164.56",14.03
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-04,GBP,534.68,568,"2,715",39.17,"8,590.28",13.65
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-04,GBP,38.73,56,362,3.67,"1,185.03",10.56
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-04,GBP,319.73,456,"57,241",12.02,"2,502.22",26.60
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-04,GBP,1134.16,"1,220","121,512",18.98,"5,356.45",59.76
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-04,GBP,917.94,772,"3,370",50.64,"9,213.38",18.13
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-04,GBP,171.03,175,652,9.50,"1,534.05",18.00
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-04,GBP,464.44,270,"3,619",8.99,"2,005.89",51.65
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-04,GBP,195.02,178,"2,817",8.50,697.15,22.94
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-04,GBP,136.61,147,"2,783",1.00,193.81,136.61
US_EN_PaidSearch_Google_COMP_AlwaysOn_Conv,2025-12-04,GBP,81.48,35,858,1.54,302.51,52.84
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-04,GBP,198.42,121,"1,541",3.69,491.04,53.79
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-05,GBP,1298.65,"1,066","86,160",69.65,"16,854.27",18.64
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-05,GBP,178.65,324,"1,087",9.51,"3,005.08",18.79
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-05,GBP,985.49,"1,466","108,484",71.36,"11,007.59",13.81
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-05,GBP,515.23,564,"2,250",37.39,"10,161.52",13.78
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-05,GBP,27.64,43,260,3.00,804.59,9.21
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-05,GBP,268.42,417,"46,538",12.24,"2,505.73",21.92
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-05,GBP,927.94,"1,251","116,190",29.25,"10,489.18",31.72
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-05,GBP,832.13,723,"2,850",25.10,"3,512.70",33.15
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-05,GBP,158.32,171,722,4.50,515.49,35.18
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-05,GBP,146.27,92,"1,811",3.56,886.65,41.14
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-05,GBP,154.28,147,"2,352",4.00,740.40,38.57
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-05,GBP,123.91,131,"2,166",3.00,784.14,41.30
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2025-12-05,GBP,163.96,95,"1,490",3.28,768.71,49.93
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-06,GBP,1183.05,"1,050","75,027",66.25,"17,945.83",17.86
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2025-12-06,GBP,122.71,307,972,8.23,"2,279.70",14.90
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2025-12-06,GBP,1004.61,"1,744","114,949",65.90,"12,184.08",15.25
